name,text,pseudo_gloss
train/11August_2010_Wednesday_tagesschau-1,und nun die wettervorhersage für morgen donnerstag den zwölften august,nun Wettervorhersage morgen Donnerstag zwölfter August
train/11August_2010_Wednesday_tagesschau-4,mancherorts regnet es auch länger und ergiebig auch lokale überschwemmungen sind wieder möglich,mancherorts regnen es auch lang ergiebig auch lokal überschwemmungen wieder möglich
train/11August_2010_Wednesday_tagesschau-5,im nordwesten bleibt es heute nacht meist trocken sonst muss mit teilweise kräftigen schauern gerechnet werden örtlich mit blitz und donner,Nordwesten bleiben es heute Nacht meist trocken sonst teilweise kräftig Schauer rechnen örtlich Blitz Donner
train/11August_2010_Wednesday_tagesschau-6,auch am tag gibt es verbreitet zum teil kräftige schauer oder gewitter und in manchen regionen fallen ergiebige regenmengen,auch Tag geben es verbreiten Teil kräftig Schauer Gewitter region fallen ergiebig Regenmengen
train/11August_2010_Wednesday_tagesschau-7,größere wolkenlücken finden sich vor allem im nordwesten,groß Wolkenlücke finden sich alle Nordwesten
train/11August_2010_Wednesday_tagesschau-9,im emsland heute nacht nur neun am oberrhein bis siebzehn grad,Emsland heute Nacht nur neun Oberrhein siebzehn grad
train/11August_2010_Wednesday_tagesschau-10,morgen ähnliche temperaturen wie heute neunzehn bis fünfundzwanzig in der lausitz bis siebenundzwanzig grad,morgen ähnlich temperaturen heute neunzehn fünfundzwanzig Lausitz siebenundzwanzig Grad
train/11August_2010_Wednesday_tagesschau-11,am freitag kann es in der osthälfte teilweise länger und kräftig regnen vorsicht hochwassergefahr,Freitag es Osthälfte teilweise lang kräftig regnen vorsicht
train/11August_2010_Wednesday_tagesschau-12,sonst wechselhaft mit schauern und gewittern die uns auch am wochenende begleiten,sonst wechselhaft Schauer gewittern der uns auch Wochenende begleiten
train/11August_2010_Wednesday_tagesschau-13,am temperaturniveau ändert sich wenig,Temperaturniveau ändern sich wenig
train/25October_2010_Monday_tagesschau-14,und nun die wettervorhersage für morgen dienstag den sechsundzwanzigsten oktober,nun Wettervorhersage morgen Dienstag sechsundzwanzigster Oktober
train/25October_2010_Monday_tagesschau-15,das tief über italien sorgt dafür dass es an den alpen in der nacht noch schneit oder regnet,tief Italien sorgen dafür es alpen Nacht noch schneien regnen
train/25October_2010_Monday_tagesschau-16,gleichzeitig weitet sich das hoch über der britannie weiter nach osten aus und beschert uns morgen in weiten teilen deutschlands ruhiges teilweise auch freundliches wetter,gleichzeitig weiten sich der hoch britannie weiter Osten bescheren uns morgen weit Teil Deutschland ruhig teilweise auch freundlich Wetter
train/25October_2010_Monday_tagesschau-18,am tag eine mischung aus sonne wolken und nebel im osten und südosten sowie an der nordsee einzelne schauer gegen abend werden im nordwesten die wolken dichter,Tag Mischung Sonne Wolken Nebel Osten Südosten Nordsee einzeln Schauer Abend Nordwesten Wolke dicht
train/25October_2010_Monday_tagesschau-19,im norden und osten weht der wind schwach bis mäßig sonst meist nur schwach am abend frischt er im nordwesten auf,Norden Osten wehen Wind schwach mäßig sonst meist nur schwach Abend frischen er Nordwesten
train/25October_2010_Monday_tagesschau-20,in der nacht sechs grad an der nordsee und minus sechs grad im allgäu,Nacht sechs Grad Nordsee minus sechs Grad allgäu
train/25October_2010_Monday_tagesschau-21,am tag drei grad im berchtesgadener land und elf grad am niederrhein,Tag drei Grad Berchtesgadener Land elf Grad Niederrhein
train/25October_2010_Monday_tagesschau-23,richtung südosten wolken nebel teilweise auch sonne,richtung Südosten Wolken Nebel teilweise auch Sonne
train/05May_2011_Thursday_tagesschau-26,das hoch das morgen über dem östlichen mitteleuropa liegt bestimmt bis mindestens sonntag unser wetter mit viel sonne und steigenden temperaturen,hoch der Morgen östlich Mitteleuropa liegen bestimmen mindestens Sonntag Wetter Sonne steigend temperaturen
train/05May_2011_Thursday_tagesschau-27,die trockenheit dauert damit an nur im westen und südwesten sind am sonntag schauer möglich,trockenheit dauern damit nur Westen Südwesten Sonntag Schauer möglich
train/05May_2011_Thursday_tagesschau-28,heute nacht ist es verbreitet klar nur ein paar dünne schleierwolken ziehen über den norden und die mitte ostwärts,heute Nacht es verbreiten klar nur dünn Schleierwolke ziehen Norden Mitte ostwärts
train/05May_2011_Thursday_tagesschau-29,am tag viel sonne hier und da ein paar dünne schleierwolken am nachmittag bilden sich über den südwestlichen mittelgebirgen und den alpen ein paar quellwolken,Tag Sonne hier da dünn Schleierwolke Nachmittag bilden sich südwestlich Mittelgebirgen alpen quellwolken
train/05May_2011_Thursday_tagesschau-30,der wind weht meist schwach mitunter auch mal mäßig,Wind wehen meist schwach mitunter auch mal mäßig
train/05May_2011_Thursday_tagesschau-31,heute nacht sieben grad in aachen und minus zwei grad in den alpentälern,heute Nacht sieben Grad aachen minus zwei Grad alpentälern
train/05May_2011_Thursday_tagesschau-32,am tag fünfzehn grad auf rügen und fünfundzwanzig grad am oberrhein,Tag fünfzehn Grad rüge fünfundzwanzig grad Oberrhein
train/05May_2011_Thursday_tagesschau-33,sonnenscheinreiches wetter am samstag auch am sonntag in weiten teilen deutschlands viel sonne,sonnenscheinreich Wetter Samstag auch Sonntag weit teilen Deutschland Sonne
